Rxn,Flux,LB,UB
ACE_ACA.m,0.000000050259,0,0.059200050259
ACETATE-IN,0.0000001,0.0000001,0.0000001
ACE_ACA.p,0.000000049741,0,0.059200049741
CO2.IN,0.0104,0.0103999999999995,0.0104000000000005
PGK,0.0226,0.0214,0.0238
42TK,0.0038,0.00339754,0.00420246
PRK,0.0115,0.0103,0.0127
RUBISCO_CO2,0.0108,0.01041775,0.01118225
52TK,0.0038,0.00339754,0.00420246
SBPase,0.0038,0.00339754,0.00420246
34ALDO,0.0038,0.00339754,0.00420246
33ALDO.p,0.0055,0.00509754,0.00590246
PGDH,0.00000020118,2.01179999964372E-07,2.01180000035628E-07
GGT,0.00068767,0,0.00278767
GDC,0.00034383,0,0.00144383
RUBISCO_O2,0.00068766,0,0.00178766
SGT,0.00034373,0,0.00144373
PGP,0.00068766,0,0.00178766
ENO.c,0.000015761,0,0.001715761
PGI.p,0.0017,0.0016999999999999,0.0017000000000001
PK.c,0.000014691,0,0.135414691
Ppdk.p,0.000014023,0,0.123914023
GAPDH.c,0.000015761,0,0.001715761
MALSYN,0.000000099523,9.9522999971476E-08,9.9523000028524E-08
ICITLY,0.00000010166,0,0.00300010166
AKGDH,0.00000011892,0,0.00140011892
ACONase,0.00000047762,0,0.00170047762
FUMase,0.00000022058,0,0.00170022058
ICITDH,0.00000037596,0,0.00140037596
ME.p,0.00000010226,0,0.08650010226
MDH,3.2894E-10,0,0.06040000032894
CITSYN,0.00000047762,0,0.00170047762
PEPC,0.00000087916,0,0.06040087916
PDH.m,0.00000052689,0,0.05920052689
PDH.p,0.00000015026,0,0.05920015026
SUCDH,0.00000022058,0,0.00170022058
ME.c,0.00000021751,0,0.06020021751
P5P_T,0.00000010043,1.00429999988424E-07,1.00430000011576E-07
HP.t,0.0017,0.0016999999999999,0.0017000000000001
PYR.t,0.000014382,0,0.159414382
TP.t,0.000015861,0,0.001715861
PEP.t,0.00000019099,0,0.12390019099
SERsyn.p,0.00000025047,2.50469999970169E-07,2.50470000029831E-07
GDH,0.00000025705,2.57049999979347E-07,2.57050000020653E-07
METsyn,0.00000010015,1.00149999971808E-07,1.00150000028192E-07
Shikimat1,0.0000035534,3.55339999994885E-06,3.55340000005115E-06
THRsyn,0.00000010011,1.00109999991457E-07,1.00110000008543E-07
ARGsyn,0.000000098139,9.8138999983386E-08,9.8139000016614E-08
Shikimat2,0.0000035534,3.55339999994885E-06,3.55340000005115E-06
PROsyn,0.00000015891,1.58909999966924E-07,1.58910000033076E-07
LYSsyn1,1.1746E-24,1.1746E-24,1.1746E-24
LYSsyn2,1.1746E-24,1.1746E-24,1.1746E-24
ALAAT,8.2225E-24,8.2225E-24,8.2225E-24
ASPAT,0.00000040187,4.0186999997037E-07,4.0187000002963E-07
VALsyn,0.00000010547,1.0546999999087E-07,1.0547000000913E-07
HISsyn,4.6986E-24,4.6986E-24,4.6986E-24
GLYsyn.p,0.00000025047,2.50469999970169E-07,2.50470000029831E-07
PHEsyn,9.3971E-24,9.3971E-24,9.3971E-24
TYRsyn,0.0000071068,7.1067999998977E-06,7.1068000001023E-06
ILEsyn,0.00000010011,1.00109999991457E-07,1.00110000008543E-07
LEUsyn,-1.8794E-23,0,-1.8794E-23
ALAprot,0,0,0
ARGprot,0.000000098139,9.8138999983386E-08,9.8139000016614E-08
ASXprot,0,0,0
GLXprot,0,0,0
GLYprot,0,0,0
HISprot,0,0,0
ILEprot,0.00000010011,1.00109999991457E-07,1.00110000008543E-07
LEUprot,0,0,0
LYSprot,0,0,0
METprot,0.00000010015,1.00149999971808E-07,1.00150000028192E-07
PHEprot,0,0,0
PROprot,0.00000015891,1.58909999966924E-07,1.58910000033076E-07
SERprot,0,0,0
THRprot,0,0,0
TYRprot,0.0000071068,7.1067999998977E-06,7.1068000001023E-06
VALprot,0.00000010547,1.0546999999087E-07,1.0547000000913E-07
CYSprot,0.00000010024,1.002399998996E-07,1.002400001004E-07
